"","FIPS_CODE","Total_Pop","Male_Pop_Prop","Total_White","Total_Black","Total_Hispanic","Total_Other","Total_Households_Below_Poverty","Total_Households_Above_Poverty","total cases","4 week ahead mean error","3 week ahead mean error","2 week ahead mean error","1 week ahead mean error","4 week ahead absolute error mean","3 week ahead absolute error mean","2 week ahead absolute error mean","1 week ahead absolute error mean","4 week ahead absolute error median","3 week ahead absolute error median","2 week ahead absolute error median","1 week ahead absolute error median","4 week ahead absolute error q1","3 week ahead absolute error q1","2 week ahead absolute error q1","1 week ahead absolute error q1","4 week ahead absolute error q3","3 week ahead absolute error q3","2 week ahead absolute error q3","1 week ahead absolute error q3"
"1","01001",55200,0.486847826086957,42437,10565,1528,2198,3175,17940,13559,-67.7457627118644,-65.9152542372881,-63.6949152542373,-60.5762711864407,98.7966101694915,85.3389830508475,92.0338983050847,82.2033898305085,57,49,54,40,32,16.5,31,21.5,133.5,113,127,98
"2","01003",208107,0.486230640968348,179526,19764,9353,8817,8656,69966,54312,-250.966101694915,-251.118644067797,-260.847457627119,-273.271186440678,379.474576271186,355.491525423729,337.491525423729,322.35593220339,257,157,153,118,65.5,60.5,49.5,30,481.5,447,353.5,333.5
"3","01005",25782,0.531262120859514,12216,12266,1106,1300,2383,6803,4622,-25.271186440678,-25.9661016949153,-26.135593220339,-25.2542372881356,38.728813559322,36.5762711864407,36.9491525423729,32.9152542372881,20,21,16,13,10.5,6.5,8.5,5,65,58.5,54,39.5
"4","01007",22527,0.539441559018067,17268,5018,547,241,968,5872,5507,-34.5762711864407,-34.2372881355932,-32.5762711864407,-32.9830508474576,49.3220338983051,44.4406779661017,41.7627118644068,40.2033898305085,32,24,17,16,8,5.5,6,7,75,65,61.5,58.5
"5","01009",57645,0.493260473588342,55054,862,5261,1729,2944,17656,13353,-70.4237288135593,-66,-61.8813559322034,-61.0169491525424,102.661016949153,102.813559322034,98.6271186440678,86.6440677966102,60,77,68,45,20,21,18,12.5,154.5,128.5,138,103.5
"6","01011",10352,0.547044049459042,2276,7893,51,183,1215,2394,1629,-7.98305084745763,-8.47457627118644,-8.15254237288136,-7.57627118644068,13.2033898305085,12.9491525423729,12.3898305084746,11.271186440678,5,4,4,5,2,2,2,2,23,21,22,18.5
"7","01013",20025,0.467815230961298,10414,9055,67,556,1537,5171,3848,-22.7966101694915,-21.864406779661,-21.2881355932203,-20.3559322033898,28.4576271186441,26.7118644067797,28.1694915254237,26.1525423728814,15,12,15,14,5,5,6.5,5,38.5,34,36,27.5
"8","01015",115098,0.480590453352795,85558,23676,4203,5864,8611,36422,29112,-175.033898305085,-167.610169491525,-157.847457627119,-145.067796610169,238.152542372881,221,215.542372881356,182.491525423729,183,139,130,74,34.5,29,27.5,18,404.5,335.5,293.5,205
"9","01017",33826,0.480606633950216,19483,13319,768,1024,2414,11102,7106,-43.0508474576271,-41.9661016949153,-41.2203389830508,-37.3728813559322,64.2372881355932,60.8135593220339,53.3559322033898,48.2542372881356,48,38,24,17,14,13.5,8.5,7.5,99.5,81,66,55.5
"10","01019",25853,0.49588055544811,23997,1267,398,589,1821,8785,3793,-24.728813559322,-23.0508474576271,-23.4406779661017,-22.3728813559322,37.7796610169492,36,33.7118644067797,29.6271186440678,17,20,14,11,5,3.5,3,3.5,55,47,40,29.5
"11","01021",43930,0.493330298201685,36599,4148,3416,3183,3205,13546,8751,-43,-39.6779661016949,-40.3050847457627,-40.1186440677966,66.6949152542373,61.7457627118644,59.1864406779661,54.0169491525424,37,31,29,23,17.5,12.5,11.5,9.5,86,74.5,72.5,45.5
"12","01023",13075,0.478240917782027,7420,5590,73,65,1190,4160,760,-2.47457627118644,-2.50847457627119,-2.45762711864407,-2.66101694915254,6.10169491525424,6.23728813559322,5.74576271186441,5.13559322033898,5,5,4,3,2.5,2,2,1.5,8.5,9,8,7
"13","01025",24387,0.473161930536761,12935,11173,48,279,2596,6762,6110,-29.2372881355932,-29.6440677966102,-30.2372881355932,-30.9491525423729,50.3220338983051,45.7118644067797,45.7627118644068,41.4915254237288,26,25,20,22,7,5,5,7.5,74,61,57,46.5
"14","01027",13378,0.483181342502616,11106,1977,415,295,1036,4200,3035,-19.271186440678,-18.4915254237288,-18.1525423728814,-17.271186440678,27.1694915254237,25.5084745762712,23.8474576271186,21.2372881355932,14,11,7,9,4,3.5,4,3.5,28.5,28.5,28.5,18
"15","01029",14938,0.487414647208462,14068,393,362,477,1158,4568,3172,-25.7966101694915,-21.6610169491525,-21.8305084745763,-20,30.9152542372881,26.9830508474576,26.7796610169492,25.2542372881356,12,12,11,10,5,3.5,3,3.5,31,22,27,26
"16","01031",51288,0.493565746373421,38923,8829,3549,3536,2971,16818,12870,-64.6779661016949,-66.0677966101695,-66.4237288135593,-68.6779661016949,102.610169491525,99.4576271186441,91.9491525423729,85.6949152542373,75,52,34,35,18,23,16.5,13,138,148.5,125.5,89
"17","01033",54495,0.478484264611432,43288,8615,1349,2592,3629,18170,11093,-45.1016949152542,-43.7118644067797,-44.3220338983051,-42.4067796610169,73.406779661017,70.5254237288136,69.1694915254237,58.4406779661017,60,60,47,20,16.5,13,17.5,11.5,117.5,109.5,99.5,70.5
