"","FIPS_CODE","Total_Pop","Male_Pop_Prop","Total_White","Total_Black","Total_Hispanic","Total_Other","Total_Households_Below_Poverty","Total_Households_Above_Poverty","total cases","4 week ahead mean error","3 week ahead mean error","2 week ahead mean error","1 week ahead mean error","4 week ahead absolute error mean","3 week ahead absolute error mean","2 week ahead absolute error mean","1 week ahead absolute error mean","4 week ahead absolute error median","3 week ahead absolute error median","2 week ahead absolute error median","1 week ahead absolute error median","4 week ahead absolute error q1","3 week ahead absolute error q1","2 week ahead absolute error q1","1 week ahead absolute error q1","4 week ahead absolute error q3","3 week ahead absolute error q3","2 week ahead absolute error q3","1 week ahead absolute error q3"
"1","01001",55200,0.486847826086957,42437,10565,1528,2198,3175,17940,13559,-44.6486486486486,-42.9189189189189,-41.1486486486486,-37.8783783783784,105.648648648649,89.8648648648649,89.9594594594595,79.1216216216216,84,59,54,42.5,31.5,22,22.5,20.5,160,130.75,134.25,99.5
"2","01003",208107,0.486230640968348,179526,19764,9353,8817,8656,69966,54312,-249.864864864865,-244.918918918919,-235.310810810811,-224.405405405405,485.621621621622,428,368.337837837838,310.648648648649,253,217,172.5,114.5,85.75,78.5,53.75,34.5,630,499.25,409.5,358
"3","01005",25782,0.531262120859514,12216,12266,1106,1300,2383,6803,4622,-17.9189189189189,-16.972972972973,-15.8648648648649,-14.6216216216216,40.6756756756757,38.6216216216216,37.3513513513514,32.9189189189189,20.5,18.5,20.5,18,8.5,8.25,7,7,71.5,54,51,40.75
"4","01007",22527,0.539441559018067,17268,5018,547,241,968,5872,5507,-27.4189189189189,-25.9324324324324,-23.7162162162162,-21.5675675675676,47.3648648648649,40.6621621621622,37.8243243243243,35.7837837837838,29.5,20.5,16.5,16,7,6,6.25,7,79.5,54.75,45.75,41.25
"5","01009",57645,0.493260473588342,55054,862,5261,1729,2944,17656,13353,-56.7567567567568,-53.6621621621622,-50.7432432432432,-46.9324324324324,113.297297297297,108.743243243243,97.7432432432432,82.6621621621622,88.5,82,60,38.5,22.5,24.25,19,17,148.5,146.25,139.5,103.5
"6","01011",10352,0.547044049459042,2276,7893,51,183,1215,2394,1629,-0.5,-0.310810810810811,0.0540540540540541,0.459459459459459,15.7702702702703,15.2837837837838,14.1081081081081,12.5405405405405,7,7.5,5,5.5,3,2,3,2,24,21,20,14.75
"7","01013",20025,0.467815230961298,10414,9055,67,556,1537,5171,3848,-11.5945945945946,-10.5675675675676,-9.5,-8.05405405405405,32.0810810810811,31.2972972972973,30.7702702702703,29.2162162162162,23,24,23,18,7,8,8.25,7,49.5,44.25,44.25,39.75
"8","01015",115098,0.480590453352795,85558,23676,4203,5864,8611,36422,29112,-141.648648648649,-128.77027027027,-117.22972972973,-107.797297297297,239.081081081081,220.986486486486,200.608108108108,162.364864864865,165,133,117.5,46.5,31,24.5,23.75,19.5,361.25,363,302.25,206.5
"9","01017",33826,0.480606633950216,19483,13319,768,1024,2414,11102,7106,-28.5,-26.5675675675676,-24.2027027027027,-21.9864864864865,64.6621621621622,60.4054054054054,52.1756756756757,49.6891891891892,42.5,32,20.5,26,14.25,15,12.5,12,103.75,92.25,63,58.75
"10","01019",25853,0.49588055544811,23997,1267,398,589,1821,8785,3793,-20.8378378378378,-19.5945945945946,-18.1891891891892,-16.527027027027,36.1081081081081,32.4054054054054,29.5405405405405,25.9594594594595,17.5,12.5,9,9,5,4,3,2,53,39.5,38,25.75
