OBJECTID,GEO_ID,GEO_NAME,GEO_PARENT_NAME,GEO_LAND_AREA_SQ_KM,FIPS_CODE,B01001_001E,B01001_001M,POP_DENSITY,B09020_021E,B09020_021M
1,0500000US01001,Autauga County,Alabama,1539.602155,01001,55200,,35.8534182488203,138,136
2,0500000US01003,Baldwin County,Alabama,4117.625664,01003,208107,,50.5405340314102,691,191
3,0500000US01005,Barbour County,Alabama,2292.16014,01005,25782,,11.2479052183501,192,124
4,0500000US01007,Bibb County,Alabama,1612.159622,01007,22527,,13.9731821170745,167,82
5,0500000US01009,Blount County,Alabama,1670.127873,01009,57645,,34.5153212109765,258,95
6,0500000US01011,Bullock County,Alabama,1613.077726,01011,10352,,6.41754568496224,117,117
7,0500000US01013,Butler County,Alabama,2012.002543,01013,20025,,9.95277072072766,145,67
8,0500000US01015,Calhoun County,Alabama,1569.244611,01015,115098,,73.3461177391929,457,166
9,0500000US01017,Chambers County,Alabama,1545.085605,01017,33826,,21.8926381104949,219,77
10,0500000US01019,Cherokee County,Alabama,1433.620856,01019,25853,,18.0333593026356,161,84
11,0500000US01021,Chilton County,Alabama,1794.4771,01021,43930,,24.4806690483818,149,95
12,0500000US01023,Choctaw County,Alabama,2365.86984,01023,13075,,5.52650859271278,66,44
13,0500000US01025,Clarke County,Alabama,3207.494104,01025,24387,,7.60313166892107,156,47
14,0500000US01027,Clay County,Alabama,1564.251834,01027,13378,,8.55233135050299,183,69
15,0500000US01029,Cleburne County,Alabama,1450.666275,01029,14938,,10.29733733901,85,35
16,0500000US01031,Coffee County,Alabama,1758.565924,01031,51288,,29.1646729303962,278,84
17,0500000US01033,Colbert County,Alabama,1535.200704,01033,54495,,35.4969873698026,236,76
18,0500000US01035,Conecuh County,Alabama,2202.029362,01035,12514,,5.68293966281817,0,19
19,0500000US01037,Coosa County,Alabama,1685.846937,01037,10855,,6.43890009333629,39,64
20,0500000US01039,Covington County,Alabama,2669.177438,01039,37351,,13.9934496179418,317,121
21,0500000US01041,Crenshaw County,Alabama,1576.952801,01041,13865,,8.79227329518533,139,66
22,0500000US01043,Cullman County,Alabama,1902.975557,01043,82313,,43.2548908456631,384,130
23,0500000US01045,Dale County,Alabama,1453.244561,01045,49255,,33.8931253017089,207,88
24,0500000US01047,Dallas County,Alabama,2534.919606,01047,40029,,15.791033335043,150,66
25,0500000US01049,DeKalb County,Alabama,2012.610883,01049,71200,,35.3769328196562,411,170
26,0500000US01051,Elmore County,Alabama,1601.885906,01051,81212,,50.6977430139148,364,80
27,0500000US01053,Escambia County,Alabama,2448.137281,01053,37328,,15.2475109503469,199,84
28,0500000US01055,Etowah County,Alabama,1385.911178,01055,102939,,74.275322714801,624,126
29,0500000US01057,Fayette County,Alabama,1625.693289,01057,16585,,10.2018013559014,94,89
