OBJECTID,GEO_ID,GEO_NAME,GEO_PARENT_NAME,FIPS_CODE,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B03001_002E,B03001_002M,B03001_003E,B03001_003M
1,0500000US01001,Autauga County,Alabama,01001,42437,337,10565,230,159,68,568,166,32,36,409,348,1030,250,53672,,1528,
2,0500000US01003,Baldwin County,Alabama,01003,179526,747,19764,377,1522,337,1680,360,9,13,2034,783,3572,671,198754,,9353,
3,0500000US01005,Barbour County,Alabama,01005,12216,179,12266,196,72,43,96,40,1,3,778,192,353,161,24676,,1106,
4,0500000US01007,Bibb County,Alabama,01007,17268,70,5018,112,8,16,37,54,0,22,9,16,187,90,21980,,547,
5,0500000US01009,Blount County,Alabama,01009,55054,265,862,169,141,73,198,33,18,32,437,256,935,193,52384,,5261,
6,0500000US01011,Bullock County,Alabama,01011,2276,51,7893,146,122,139,56,71,0,19,5,7,0,19,10301,51,51,51
7,0500000US01013,Butler County,Alabama,01013,10414,27,9055,99,2,4,231,44,0,22,0,22,323,96,19958,43,67,43
8,0500000US01015,Calhoun County,Alabama,01015,85558,434,23676,386,353,205,1065,146,9,14,1701,412,2736,488,110895,,4203,
9,0500000US01017,Chambers County,Alabama,01017,19483,145,13319,159,97,43,405,38,0,25,175,154,347,159,33058,,768,
10,0500000US01019,Cherokee County,Alabama,01019,23997,84,1267,76,236,130,55,49,0,22,90,67,208,145,25455,,398,
11,0500000US01021,Chilton County,Alabama,01021,36599,698,4148,339,123,215,190,61,0,25,1858,707,1012,375,40514,,3416,
12,0500000US01023,Choctaw County,Alabama,01023,7420,55,5590,70,9,9,13,22,0,19,8,13,35,28,13002,63,73,63
13,0500000US01025,Clarke County,Alabama,01025,12935,43,11173,91,25,30,123,22,0,22,0,22,131,75,24339,43,48,43
14,0500000US01027,Clay County,Alabama,01027,11106,62,1977,64,155,63,18,22,0,19,26,31,96,59,12963,,415,
15,0500000US01029,Cleburne County,Alabama,01029,14068,123,393,73,39,65,3,6,0,19,126,124,309,72,14576,,362,
16,0500000US01031,Coffee County,Alabama,01031,38923,378,8829,289,617,96,666,102,0,28,644,368,1609,343,47739,,3549,
17,0500000US01033,Colbert County,Alabama,01033,43288,187,8615,282,367,160,267,61,29,34,723,219,1206,317,53146,,1349,
18,0500000US01035,Conecuh County,Alabama,01035,6369,106,5971,139,56,46,18,19,0,19,2,5,98,87,12409,108,105,108
19,0500000US01037,Coosa County,Alabama,01037,7133,47,3713,49,9,12,0,19,0,19,0,19,0,19,10805,48,50,48
20,0500000US01039,Covington County,Alabama,01039,31624,82,4826,96,58,70,159,52,13,21,70,70,601,112,36747,,604,
21,0500000US01041,Crenshaw County,Alabama,01041,9938,57,3198,171,109,23,188,19,0,19,146,104,286,146,13590,,275,
22,0500000US01043,Cullman County,Alabama,01043,78392,367,998,104,348,155,334,145,3,4,793,352,1445,266,78770,,3543,
23,0500000US01045,Dale County,Alabama,01045,35889,417,9749,211,377,144,633,194,4,6,947,385,1656,282,46185,,3070,
24,0500000US01047,Dallas County,Alabama,01047,11257,125,28210,106,10,19,224,21,23,40,25,42,280,73,39617,,412,
25,0500000US01049,DeKalb County,Alabama,01049,60972,884,1004,142,934,232,140,71,621,498,5899,930,1630,296,60980,,10220,
26,0500000US01051,Elmore County,Alabama,01051,60824,325,17402,258,209,99,392,133,0,28,774,339,1611,307,78865,,2347,
27,0500000US01053,Escambia County,Alabama,01053,23095,132,11920,263,1437,83,135,157,72,86,232,123,437,180,36490,,838,
28,0500000US01055,Etowah County,Alabama,01055,82710,399,16212,296,751,204,739,92,66,71,751,333,1710,253,99059,,3880,
29,0500000US01057,Fayette County,Alabama,01057,14095,69,1978,201,0,19,108,68,6,13,0,19,398,189,16300,,285,
30,0500000US01059,Franklin County,Alabama,01059,26467,608,1388,135,488,352,119,6,0,25,2767,609,313,131,26209,,5333,
31,0500000US01061,Geneva County,Alabama,01061,22871,212,2529,163,210,71,109,16,4,7,243,170,525,167,25464,,1027,
32,0500000US01063,Greene County,Alabama,01063,1445,17,6713,232,48,81,0,17,0,17,0,17,220,230,8283,193,143,193
33,0500000US01065,Hale County,Alabama,01065,5898,25,8748,143,29,45,39,41,0,19,101,93,72,73,14757,128,130,128
34,0500000US01067,Henry County,Alabama,01067,12179,79,4749,113,4,7,0,19,0,19,37,37,155,103,16676,,448,
35,0500000US01069,Houston County,Alabama,01069,72387,157,28078,168,305,78,873,54,18,28,522,126,2169,177,100915,,3437,
36,0500000US01071,Jackson County,Alabama,01071,47412,295,1799,162,615,199,215,47,77,81,552,297,1424,227,50589,,1505,
37,0500000US01073,Jefferson County,Alabama,01073,342591,1135,281702,1353,1564,375,10250,667,215,31,12398,1356,11172,1422,634844,,25048,
38,0500000US01075,Lamar County,Alabama,01075,12187,28,1558,134,0,19,0,19,0,19,119,139,69,61,13715,,218,
39,0500000US01077,Lauderdale County,Alabama,01077,80561,180,9364,320,417,121,612,64,61,48,179,92,1391,309,90173,,2412,
40,0500000US01079,Lawrence County,Alabama,01079,25942,191,3627,222,1878,326,44,63,24,34,5,9,1651,414,32464,,707,
